Word: ' Inspired' | Start: 0.00s | End: 2.16s
Word: ' $575' | Start: 134.18s | End: 135.56s
Word: ' power' | Start: 135.56s | End: 136.30s
Word: ' supply.' | Start: 136.30s | End: 136.96s
Word: ' We've' | Start: 137.16s | End: 137.48s
Word: ' got' | Start: 137.48s | End: 137.66s
Word: ' coolers' | Start: 137.66s | End: 138.40s
Word: ' all' | Start: 138.40s | End: 138.86s
Word: ' the' | Start: 138.86s | End: 139.04s
Word: ' way' | Start: 139.04s | End: 139.20s
Word: ' from' | Start: 139.20s | End: 139.60s
Word: ' the' | Start: 139.60s | End: 140.10s
Word: ' Intel' | Start: 140.10s | End: 140.52s
Word: ' stock' | Start: 140.52s | End: 140.92s
Word: ' cooler.' | Start: 140.92s | End: 141.52s
Word: ' I'm' | Start: 141.74s | End: 141.90s
Word: ' really' | Start: 141.90s | End: 142.12s
Word: ' going' | Start: 142.12s | End: 142.26s
Word: ' to' | Start: 142.26s | End: 142.32s
Word: ' be...' | Start: 142.32s | End: 142.64s
Word: ' One' | Start: 143.18s | End: 143.26s
Word: ' in' | Start: 143.26s | End: 143.48s
Word: ' D' | Start: 143.48s | End: 143.58s
Word: '&D' | Start: 143.58s | End: 143.86s
Word: ' is' | Start: 143.86s | End: 144.06s
Word: ' usually' | Start: 144.06s | End: 144.40s
Word: ' bad,' | Start: 144.40s | End: 144.94s
Word: ' right?' | Start: 144.94s | End: 145.24s
Word: ' You' | Start: 145.44s | End: 145.52s
Word: ' know,' | Start: 145.52s | End: 145.66s
Word: ' natural' | Start: 145.66s | End: 146.00s
Word: ' one,' | Start: 146.00s | End: 146.50s
Word: ' bad.' | Start: 146.50s | End: 146.86s
Word: ' Okay,' | Start: 147.10s | End: 147.42s
Word: ' well,' | Start: 147.42s | End: 147.68s
Word: ' I'm' | Start: 147.68s | End: 148.20s
Word: ' really' | Start: 148.20s | End: 148.40s
Word: ' hoping' | Start: 148.40s | End: 148.72s
Word: ' for...' | Start: 148.72s | End: 149.08s
Word: ' That's' | Start: 149.08s | End: 149.26s
Word: ' a' | Start: 149.26s | End: 149.34s
Word: ' natural' | Start: 149.34s | End: 149.66s
Word: ' one' | Start: 149.66s | End: 149.90s
Word: ' for' | Start: 149.90s | End: 150.14s
Word: ' you' | Start: 150.14s | End: 150.40s
Word: ' if' | Start: 150.40s | End: 150.64s
Word: ' you' | Start: 150.64s | End: 150.76s
Word: ' end' | Start: 150.76s | End: 150.94s
Word: ' up' | Start: 150.94s | End: 151.06s
Word: ' with' | Start: 151.06s | End: 151.22s
Word: ' that' | Start: 151.22s | End: 151.44s
Word: ' cooler.' | Start: 151.44s | End: 151.92s
Word: ' I'm' | Start: 152.30s | End: 152.56s
Word: ' hoping' | Start: 152.56s | End: 152.80s
Word: ' for' | Start: 152.80s | End: 153.02s
Word: ' that' | Start: 153.02s | End: 153.20s
Word: ' one.' | Start: 153.20s | End: 153.58s
Word: ' We've' | Start: 153.74s | End: 153.98s
Word: ' got' | Start: 153.98s | End: 154.16s
Word: ' storage' | Start: 154.16s | End: 154.66s
Word: ' all' | Start: 154.66s | End: 155.16s
Word: ' the' | Start: 155.16s | End: 155.32s
Word: ' way' | Start: 155.32s | End: 155.48s
Word: ' from' | Start: 155.48s | End: 155.84s
Word: ' like' | Start: 155.84s | End: 156.14s
Word: ' ancient' | Start: 156.14s | End: 156.86s
Word: ' beat' | Start: 156.86s | End: 157.52s
Word: ' up...' | Start: 157.52s | End: 157.90s
Word: ' Oh' | Start: 157.90s | End: 158.12s
Word: ' my' | Start: 158.12s | End: 158.38s
Word: ' goodness,' | Start: 158.38s | End: 158.96s
Word: ' this' | Start: 158.96s | End: 159.12s
Word: ' is' | Start: 159.12s | End: 159.24s
Word: ' a' | Start: 159.24s | End: 159.38s
Word: ' shingled' | Start: 159.38s | End: 160.08s
Word: ' hard' | Start: 160.08s | End: 161.34s
Word: ' drive.' | Start: 161.34s | End: 161.90s
Word: ' You' | Start: 161.90s | End: 162.08s
Word: ' do' | Start: 162.08s | End: 162.64s
Word: ' not' | Start: 162.64s | End: 163.10s
Word: ' want' | Start: 163.10s | End: 163.52s
Word: ' that' | Start: 163.52s | End: 163.88s
Word: ' as' | Start: 163.88s | End: 164.48s
Word: ' a' | Start: 164.48s | End: 164.58s
Word: ' boot' | Start: 164.58s | End: 164.80s
Word: ' drive.' | Start: 164.80s | End: 165.56s
Word: ' So' | Start: 165.34s | End: 166.14s
Word: ' we've' | Start: 166.14s | End: 166.44s
Word: ' got' | Start: 166.44s | End: 166.58s
Word: ' everything' | Start: 166.58s | End: 166.94s
Word: ' from' | Start: 166.94s | End: 167.28s
Word: ' shingled' | Start: 167.28s | End: 168.06s
Word: ' storage' | Start: 168.06s | End: 168.48s
Word: ' up' | Start: 168.48s | End: 169.08s
Word: ' to' | Start: 169.08s | End: 169.28s
Word: ' an' | Start: 169.28s | End: 169.50s
Word: ' 8' | Start: 169.50s | End: 169.98s
Word: ' terabyte' | Start: 169.98s | End: 171.38s
Word: ' NVMe' | Start: 171.38s | End: 172.36s
Word: ' SSD' | Start: 172.36s | End: 172.88s
Word: ' from' | Start: 172.88s | End: 173.28s
Word: ' Sabrent' | Start: 173.28s | End: 173.82s
Word: ' that' | Start: 173.82s | End: 174.32s
Word: ' is' | Start: 174.32s | End: 174.50s
Word: ' worth' | Start: 174.50s | End: 174.74s
Word: ' a' | Start: 174.74s | End: 175.02s
Word: ' whopping' | Start: 175.02s | End: 175.52s
Word: ' $1' | Start: 175.52s | End: 176.14s
Word: ',500' | Start: 176.14s | End: 177.50s
Word: ' US' | Start: 177.50s | End: 178.30s
Word: ' dollars.' | Start: 178.30s | End: 179.18s
Word: ' We've' | Start: 179.64s | End: 180.04s
Word: ' got' | Start: 180.04s | End: 180.22s
Word: ' combos' | Start: 180.22s | End: 180.72s
Word: ' from' | Start: 180.72s | End: 181.08s
Word: ' Ryzen' | Start: 181.08s | End: 181.84s
Word: ' Threadripper' | Start: 181.84s | End: 182.84s
Word: ' to,' | Start: 182.84s | End: 183.82s
Word: ' we've' | Start: 183.82s | End: 184.90s
Word: ' got' | Start: 184.90s | End: 185.08s
Word: ' a' | Start: 185.08s | End: 185.38s
Word: ' Ryzen' | Start: 185.38s | End: 185.72s
Word: ' 7' | Start: 185.72s | End: 186.14s
Word: ' over' | Start: 186.14s | End: 186.46s
Word: ' here,' | Start: 186.46s | End: 187.08s
Word: ' all' | Start: 187.08s | End: 187.58s
Word: ' the' | Start: 187.58s | End: 187.74s
Word: ' way' | Start: 187.74s | End: 187.88s
Word: ' down' | Start: 187.88s | End: 188.16s
Word: ' to' | Start: 188.16s | End: 188.52s
Word: ' an' | Start: 188.52s | End: 189.32s
Word: ' AMD' | Start: 189.32s | End: 189.78s
Word: ' FX' | Start: 189.78s | End: 190.34s
Word: ' 8350,' | Start: 190.34s | End: 191.68s
Word: ' the' | Start: 191.68s | End: 192.00s
Word: ' CPU' | Start: 192.00s | End: 192.42s
Word: ' that' | Start: 192.42s | End: 192.92s
Word: ' almost' | Start: 192.92s | End: 193.40s
Word: ' destroyed' | Start: 193.40s | End: 194.04s
Word: ' AMD.' | Start: 194.04s | End: 195.32s
Word: ' Oh' | Start: 197.26s | End: 197.46s
Word: ' my' | Start: 197.46s | End: 197.74s
Word: ' goodness' | Start: 197.74s | End: 198.04s
Word: ' these' | Start: 198.04s | End: 198.34s
Word: ' monitors' | Start: 198.34s | End: 198.90s
Word: ' though' | Start: 198.90s | End: 199.26s
Word: ' you' | Start: 199.26s | End: 199.96s
Word: ' might' | Start: 199.96s | End: 200.10s
Word: ' want' | Start: 200.10s | End: 200.28s
Word: ' to' | Start: 200.28s | End: 200.36s
Word: ' go' | Start: 200.36s | End: 200.54s
Word: ' you' | Start: 200.54s | End: 200.72s
Word: ' might' | Start: 200.72s | End: 200.86s
Word: ' want' | Start: 200.86s | End: 201.02s
Word: ' to' | Start: 201.02s | End: 201.10s
Word: ' go' | Start: 201.10s | End: 201.22s
Word: ' back' | Start: 201.22s | End: 201.48s
Word: ' around' | Start: 201.48s | End: 201.78s
Word: ' Andrew' | Start: 201.78s | End: 202.20s
Word: ' not' | Start: 202.20s | End: 202.72s
Word: ' too' | Start: 202.72s | End: 202.88s
Word: ' fast' | Start: 202.88s | End: 203.16s
Word: ' Don't' | Start: 203.32s | End: 203.42s
Word: ' give' | Start: 203.42s | End: 203.52s
Word: ' them' | Start: 203.52s | End: 203.64s
Word: ' motion' | Start: 203.64s | End: 203.92s
Word: ' sickness.' | Start: 203.92s | End: 204.40s
Word: ' Oh' | Start: 204.40s | End: 204.98s
Word: ' GPUs' | Start: 204.98s | End: 205.84s
Word: ' my' | Start: 205.84s | End: 206.30s
Word: ' goodness.' | Start: 206.30s | End: 206.84s
Word: ' Have' | Start: 206.84s | End: 206.92s
Word: ' we' | Start: 206.92s | End: 207.02s
Word: ' ever' | Start: 207.02s | End: 207.18s
Word: ' got' | Start: 207.18s | End: 207.34s
Word: ' a' | Start: 207.34s | End: 207.48s
Word: ' lot' | Start: 207.48s | End: 207.58s
Word: ' of' | Start: 207.58s | End: 207.72s
Word: ' options' | Start: 207.72s | End: 208.04s
Word: ' for' | Start: 208.04s | End: 208.22s
Word: ' GPUs?' | Start: 208.22s | End: 209.08s
Word: ' 8800' | Start: 209.64s | End: 210.24s
Word: ' GTS' | Start: 210.24s | End: 210.96s
Word: ' all' | Start: 210.96s | End: 211.80s
Word: ' the' | Start: 211.80s | End: 211.98s
Word: ' way' | Start: 211.98s | End: 212.14s
Word: ' up' | Start: 212.14s | End: 212.34s
Word: ' to' | Start: 212.34s | End: 212.68s
Word: ' an' | Start: 212.68s | End: 213.22s
Word: ' RTX' | Start: 213.88s | End: 213.88s
Word: ' 4090' | Start: 213.88s | End: 214.86s
Word: ' Supreme' | Start: 214.86s | End: 215.46s
Word: ' one' | Start: 215.46s | End: 216.16s
Word: ' of' | Start: 216.16s | End: 216.32s
Word: ' the' | Start: 216.32s | End: 216.48s
Word: ' hottest' | Start: 216.48s | End: 216.98s
Word: ' cards' | Start: 216.98s | End: 217.68s
Word: ' on' | Start: 217.68s | End: 218.06s
Word: ' the' | Start: 218.06s | End: 218.22s
Word: ' market' | Start: 218.22s | End: 218.60s
Word: ' right' | Start: 218.60s | End: 218.88s
Word: ' now' | Start: 218.88s | End: 219.14s
Word: ' My' | Start: 219.30s | End: 219.36s
Word: ' understanding' | Start: 219.36s | End: 219.84s
Word: ' is' | Start: 219.84s | End: 220.06s
Word: ' these' | Start: 220.06s | End: 220.32s
Word: ' are' | Start: 220.32s | End: 220.62s
Word: ' like' | Start: 220.62s | End: 220.84s
Word: ' cannot' | Start: 220.84s | End: 221.22s
Word: ' be' | Start: 221.22s | End: 221.50s
Word: ' kept' | Start: 221.50s | End: 221.72s
Word: ' in' | Start: 221.72s | End: 221.88s
Word: ' stock' | Start: 221.88s | End: 222.22s
Word: ' and' | Start: 222.22s | End: 222.84s
Word: ' then' | Start: 222.84s | End: 222.98s
Word: ' for' | Start: 222.98s | End: 223.18s
Word: ' monitors' | Start: 223.18s | End: 223.74s
Word: ' We've' | Start: 224.50s | End: 224.90s
Word: ' got' | Start: 224.90s | End: 225.08s
Word: ' an' | Start: 225.08s | End: 225.28s
Word: ' Odyssey' | Start: 225.28s | End: 225.80s
Word: ' Neo' | Start: 225.80s | End: 226.22s
Word: ' G9,' | Start: 226.22s | End: 227.32s
Word: ' an' | Start: 227.32s | End: 228.40s
Word: ' Apple' | Start: 228.40s | End: 228.76s
Word: ' Studio' | Start: 228.76s | End: 229.20s
Word: ' display,' | Start: 229.20s | End: 230.36s
Word: ' the' | Start: 230.36s | End: 230.96s
Word: ' Dell' | Start: 230.96s | End: 231.24s
Word: ' UltraSharp' | Start: 231.24s | End: 232.06s
Word: ' 8K.' | Start: 232.06s | End: 233.28s
