Word: ' bar' | Start: 0.04s | End: 0.34s
Word: ' Oh,' | Start: 48.10s | End: 48.60s
Word: ' in' | Start: 48.60s | End: 50.22s
Word: ' fact,' | Start: 50.22s | End: 50.82s
Word: ' our' | Start: 50.82s | End: 51.48s
Word: ' CPU' | Start: 51.48s | End: 51.92s
Word: ' upgrade' | Start: 51.92s | End: 52.38s
Word: ' might' | Start: 52.62s | End: 52.82s
Word: ' be' | Start: 52.82s | End: 53.10s
Word: ' a' | Start: 53.10s | End: 53.38s
Word: ' little' | Start: 53.38s | End: 54.04s
Word: ' controversial.' | Start: 54.04s | End: 55.20s
Word: ' We're' | Start: 55.58s | End: 55.78s
Word: ' going' | Start: 55.78s | End: 56.08s
Word: ' with' | Start: 56.08s | End: 56.58s
Word: ' the' | Start: 56.58s | End: 56.72s
Word: ' AMD' | Start: 56.72s | End: 57.10s
Word: ' Ryzen' | Start: 57.10s | End: 57.66s
Word: ' 9' | Start: 57.66s | End: 57.94s
Word: ' 9950X.' | Start: 57.94s | End: 59.98s
Word: ' That's' | Start: 60.36s | End: 60.60s
Word: ' right,' | Start: 60.60s | End: 61.68s
Word: ' desktop' | Start: 61.68s | End: 62.44s
Word: ' CPUs,' | Start: 62.44s | End: 63.58s
Word: ' like' | Start: 63.92s | End: 63.92s
Word: ' peasant' | Start: 63.92s | End: 65.26s
Word: ' consumer' | Start: 65.26s | End: 65.94s
Word: ' CPUs.' | Start: 65.94s | End: 66.82s
Word: ' But' | Start: 67.28s | End: 67.40s
Word: ' here's' | Start: 67.40s | End: 67.60s
Word: ' the' | Start: 67.60s | End: 67.70s
Word: ' thing,' | Start: 67.70s | End: 68.26s
Word: ' even' | Start: 68.26s | End: 68.86s
Word: ' without' | Start: 68.86s | End: 69.28s
Word: ' the' | Start: 69.28s | End: 69.66s
Word: ' 3D' | Start: 69.66s | End: 69.94s
Word: ' V' | Start: 69.94s | End: 70.12s
Word: '-Cache,' | Start: 70.12s | End: 70.60s
Word: ' which' | Start: 70.64s | End: 70.80s
Word: ' doesn't' | Start: 70.80s | End: 71.64s
Word: ' consistently' | Start: 71.64s | End: 72.20s
Word: ' boost' | Start: 72.20s | End: 72.50s
Word: ' productivity' | Start: 72.50s | End: 72.96s
Word: ' performance,' | Start: 72.96s | End: 73.74s
Word: ' the' | Start: 74.00s | End: 74.12s
Word: ' gamers' | Start: 74.12s | End: 74.42s
Word: ' watching' | Start: 74.42s | End: 74.78s
Word: ' this' | Start: 74.78s | End: 75.00s
Word: ' are' | Start: 75.00s | End: 75.16s
Word: ' probably' | Start: 75.16s | End: 75.70s
Word: ' agreeing' | Start: 75.70s | End: 76.46s
Word: ' with' | Start: 76.60s | End: 76.72s
Word: ' our' | Start: 76.72s | End: 76.86s
Word: ' choice' | Start: 76.86s | End: 77.10s
Word: ' going,' | Start: 77.10s | End: 77.50s
Word: ' heck' | Start: 77.50s | End: 77.78s
Word: ' yeah,' | Start: 77.78s | End: 78.46s
Word: ' AMD' | Start: 78.46s | End: 78.92s
Word: ' dominance.' | Start: 78.92s | End: 79.66s
Word: ' But' | Start: 80.68s | End: 81.82s
Word: ' the' | Start: 81.82s | End: 82.30s
Word: ' content' | Start: 82.30s | End: 82.66s
Word: ' creators' | Start: 82.66s | End: 83.04s
Word: ' that' | Start: 83.04s | End: 83.22s
Word: ' are' | Start: 83.22s | End: 83.28s
Word: ' watching' | Start: 83.28s | End: 83.56s
Word: ' might' | Start: 83.70s | End: 83.82s
Word: ' know' | Start: 83.82s | End: 84.16s
Word: ' that' | Start: 84.16s | End: 84.64s
Word: ' video' | Start: 84.64s | End: 85.08s
Word: ' editing' | Start: 85.08s | End: 85.40s
Word: ' performance' | Start: 85.40s | End: 85.84s
Word: ' is' | Start: 85.84s | End: 86.24s
Word: ' actually' | Start: 86.24s | End: 86.74s
Word: ' one' | Start: 86.74s | End: 87.06s
Word: ' of' | Start: 87.06s | End: 87.20s
Word: ' Intel's' | Start: 87.20s | End: 87.80s
Word: ' last' | Start: 87.80s | End: 88.22s
Word: ' strongholds,' | Start: 88.22s | End: 89.32s
Word: ' thanks' | Start: 89.56s | End: 89.72s
Word: ' in' | Start: 89.72s | End: 89.96s
Word: ' part' | Start: 89.96s | End: 90.22s
Word: ' to' | Start: 90.22s | End: 90.64s
Word: ' QuickSync.' | Start: 90.64s | End: 91.38s
Word: ' Now' | Start: 92.04s | End: 92.18s
Word: ' QuickSync,' | Start: 92.18s | End: 92.96s
Word: ' yeah,' | Start: 92.96s | End: 93.22s
Word: ' yeah,' | Start: 93.22s | End: 93.40s
Word: ' let's' | Start: 93.40s | End: 93.74s
Word: ' stand' | Start: 93.74s | End: 93.92s
Word: ' over' | Start: 93.92s | End: 94.08s
Word: ' here.' | Start: 94.08s | End: 94.48s
Word: ' QuickSync' | Start: 94.70s | End: 95.22s
Word: ' is' | Start: 95.22s | End: 95.60s
Word: ' Intel's' | Start: 95.60s | End: 96.10s
Word: ' branding' | Start: 96.10s | End: 96.42s
Word: ' for' | Start: 96.42s | End: 96.64s
Word: ' the' | Start: 96.64s | End: 96.78s
Word: ' dedicated' | Start: 96.78s | End: 97.30s
Word: ' hardware' | Start: 97.30s | End: 97.80s
Word: ' that' | Start: 97.80s | End: 98.02s
Word: ' accelerates' | Start: 98.02s | End: 98.60s
Word: ' video' | Start: 98.60s | End: 98.98s
Word: ' encoding' | Start: 98.98s | End: 99.42s
Word: ' and' | Start: 99.42s | End: 99.72s
Word: ' decoding' | Start: 99.76s | End: 100.26s
Word: ' on' | Start: 100.26s | End: 100.54s
Word: ' their' | Start: 100.54s | End: 100.72s
Word: ' CPUs' | Start: 100.72s | End: 101.48s
Word: ' and' | Start: 101.48s | End: 102.04s
Word: ' their' | Start: 102.04s | End: 102.40s
Word: ' GPUs.' | Start: 102.40s | End: 103.30s
Word: ' And' | Start: 103.52s | End: 103.64s
Word: ' it' | Start: 103.64s | End: 103.74s
Word: ' really' | Start: 103.74s | End: 104.22s
Word: ' does' | Start: 104.22s | End: 104.58s
Word: ' work,' | Start: 104.58s | End: 105.04s
Word: ' allowing' | Start: 105.04s | End: 105.44s
Word: ' Intel' | Start: 105.44s | End: 105.80s
Word: ' to' | Start: 105.80s | End: 106.00s
Word: ' outperform' | Start: 106.00s | End: 106.76s
Word: ' AMD' | Start: 106.76s | End: 107.34s
Word: ' in' | Start: 107.34s | End: 107.94s
Word: ' Adobe' | Start: 107.94s | End: 108.20s
Word: ' Premiere' | Start: 108.20s | End: 108.60s
Word: ' Timeline' | Start: 108.60s | End: 109.06s
Word: ' performance.' | Start: 109.10s | End: 109.90s
Word: ' And' | Start: 110.22s | End: 110.92s
Word: ' actually' | Start: 110.92s | End: 111.60s
Word: ' encoding' | Start: 111.60s | End: 112.10s
Word: ' as' | Start: 112.10s | End: 112.32s
Word: ' well' | Start: 112.32s | End: 112.44s
Word: ' in' | Start: 112.44s | End: 112.56s
Word: ' many' | Start: 112.56s | End: 112.70s
Word: ' cases.' | Start: 112.70s | End: 113.28s
Word: ' That' | Start: 113.70s | End: 113.94s
Word: ' is' | Start: 113.94s | End: 114.32s
Word: ' why' | Start: 114.32s | End: 114.46s
Word: ' we' | Start: 114.46s | End: 114.60s
Word: ' went' | Start: 114.60s | End: 114.80s
Word: ' with' | Start: 114.80s | End: 115.06s
Word: ' their' | Start: 115.06s | End: 115.26s
Word: ' Core' | Start: 115.26s | End: 115.58s
Word: ' i9' | Start: 115.58s | End: 115.98s
Word: '-13900K' | Start: 115.98s | End: 117.34s
Word: ' in' | Start: 117.34s | End: 117.96s
Word: ' our' | Start: 117.96s | End: 118.14s
Word: ' last' | Start: 118.14s | End: 118.58s
Word: ' behind' | Start: 118.58s | End: 119.28s
Word: '-the' | Start: 119.28s | End: 119.56s
Word: '-scenes' | Start: 119.56s | End: 119.84s
Word: ' editing' | Start: 119.84s | End: 120.28s
Word: ' rig' | Start: 120.28s | End: 120.58s
Word: ' upgrade.' | Start: 120.58s | End: 121.36s
Word: ' But' | Start: 122.18s | End: 122.36s
Word: ' here's' | Start: 122.36s | End: 122.56s
Word: ' the' | Start: 122.56s | End: 122.66s
Word: ' issue.' | Start: 122.66s | End: 123.12s
Word: ' We've' | Start: 123.44s | End: 123.68s
Word: ' heard' | Start: 123.68s | End: 123.86s
Word: ' a' | Start: 123.86s | End: 124.08s
Word: ' lot' | Start: 124.08s | End: 124.56s
Word: ' of' | Start: 124.56s | End: 124.94s
Word: ' complaints' | Start: 124.94s | End: 125.30s
Word: ' from' | Start: 125.30s | End: 125.50s
Word: ' our' | Start: 125.50s | End: 125.62s
Word: ' editors' | Start: 125.62s | End: 125.92s
Word: ' about' | Start: 125.92s | End: 126.34s
Word: ' system' | Start: 126.34s | End: 126.82s
Word: ' stability.' | Start: 126.82s | End: 127.50s
Word: ' A' | Start: 127.98s | End: 128.14s
Word: ' lot.' | Start: 128.14s | End: 128.94s
Word: ' And' | Start: 129.18s | End: 129.28s
Word: ' when' | Start: 129.28s | End: 129.36s
Word: ' it' | Start: 129.36s | End: 129.44s
Word: ' comes' | Start: 129.44s | End: 129.58s
Word: ' to' | Start: 129.58s | End: 129.72s
Word: ' getting' | Start: 129.72s | End: 129.86s
Word: ' work' | Start: 129.86s | End: 130.14s
Word: ' done,' | Start: 130.14s | End: 130.62s
Word: ' it' | Start: 130.62s | End: 131.06s
Word: ' doesn't' | Start: 131.06s | End: 131.34s
Word: ' matter' | Start: 131.34s | End: 131.70s
Word: ' how' | Start: 131.70s | End: 132.04s
Word: ' smooth' | Start: 132.04s | End: 132.76s
Word: ' you' | Start: 132.76s | End: 133.12s
Word: ' can' | Start: 133.12s | End: 133.34s
Word: ' scrub' | Start: 133.34s | End: 133.78s
Word: ' your' | Start: 133.78s | End: 133.98s
Word: ' timeline' | Start: 133.98s | End: 134.38s
Word: ' if' | Start: 134.38s | End: 134.84s
Word: ' the' | Start: 134.84s | End: 134.96s
Word: ' system' | Start: 134.96s | End: 135.24s
Word: ' crashes' | Start: 135.24s | End: 135.78s
Word: ' on' | Start: 135.78s | End: 136.00s
Word: ' the' | Start: 136.00s | End: 136.12s
Word: ' daily.' | Start: 136.12s | End: 136.60s
Word: ' So' | Start: 136.92s | End: 137.08s
Word: ' now' | Start: 137.08s | End: 137.50s
Word: ' that' | Start: 137.50s | End: 137.66s
Word: ' the' | Start: 137.66s | End: 137.78s
Word: ' Core' | Start: 137.78s | End: 138.00s
Word: ' Ultra' | Start: 138.00s | End: 138.38s
Word: ' launch' | Start: 138.38s | End: 138.72s
Word: ' has' | Start: 138.72s | End: 138.96s
Word: ' come' | Start: 138.96s | End: 139.22s
Word: ' and' | Start: 139.22s | End: 139.52s
Word: ' gone' | Start: 139.52s | End: 139.76s
Word: ' with' | Start: 139.76s | End: 139.94s
Word: ' a' | Start: 139.94s | End: 140.04s
Word: ' resounding' | Start: 140.04s | End: 140.68s
Word: ' womp' | Start: 140.68s | End: 141.78s
Word: ' womp,' | Start: 141.78s | End: 142.30s
Word: ' we' | Start: 142.22s | End: 142.90s
Word: ' thought' | Start: 142.90s | End: 143.12s
Word: ' maybe' | Start: 143.12s | End: 143.74s
Word: ' it's' | Start: 143.74s | End: 143.94s
Word: ' time' | Start: 143.94s | End: 144.14s
Word: ' for' | Start: 144.14s | End: 144.36s
Word: ' a' | Start: 144.36s | End: 144.46s
Word: ' walk' | Start: 144.46s | End: 144.74s
Word: ' on' | Start: 144.74s | End: 144.98s
Word: ' the' | Start: 144.98s | End: 145.10s
Word: ' red' | Start: 145.10s | End: 145.32s
Word: ' side.' | Start: 145.32s | End: 145.78s
Word: ' Besides,' | Start: 146.04s | End: 146.64s
Word: ' the' | Start: 146.64s | End: 146.82s
Word: ' 9950X' | Start: 146.82s | End: 147.68s
Word: ' seems' | Start: 147.68s | End: 147.96s
Word: ' to' | Start: 147.96s | End: 148.10s
Word: ' have' | Start: 148.10s | End: 148.26s
Word: ' solid' | Start: 148.26s | End: 148.74s
Word: ' performance' | Start: 148.74s | End: 149.22s
Word: ' with' | Start: 149.22s | End: 149.52s
Word: ' intra' | Start: 149.52s | End: 149.94s
Word: '-frame' | Start: 149.94s | End: 150.18s
Word: ' codecs,' | Start: 150.18s | End: 150.70s
Word: ' which' | Start: 150.70s | End: 150.98s
Word: ' we' | Start: 150.98s | End: 151.42s
Word: ' use,' | Start: 151.42s | End: 151.94s
Word: ' and' | Start: 152.34s | End: 152.68s
Word: ' it's' | Start: 152.68s | End: 153.12s
Word: ' got' | Start: 153.12s | End: 153.24s
Word: ' a' | Start: 153.24s | End: 153.34s
Word: ' potential' | Start: 153.34s | End: 153.68s
Word: ' upgrade' | Start: 153.68s | End: 154.18s
Word: ' path' | Start: 154.18s | End: 154.52s
Word: ' thanks' | Start: 154.52s | End: 154.92s
Word: ' to' | Start: 154.92s | End: 155.08s
Word: ' AMD's' | Start: 155.08s | End: 155.62s
Word: ' long' | Start: 155.62s | End: 156.00s
Word: '-term' | Start: 156.00s | End: 156.26s
Word: ' commitment' | Start: 156.26s | End: 156.70s
Word: ' to' | Start: 156.70s | End: 156.96s
Word: ' the' | Start: 156.96s | End: 157.08s
Word: ' AM5' | Start: 157.08s | End: 157.70s
Word: ' platform.' | Start: 157.70s | End: 158.48s
Word: ' Though,' | Start: 158.76s | End: 159.34s
Word: ' it' | Start: 159.34s | End: 160.36s
Word: ' is' | Start: 160.36s | End: 160.60s
Word: ' worth' | Start: 160.60s | End: 160.86s
Word: ' noting' | Start: 160.86s | End: 161.28s
Word: ' that' | Start: 161.28s | End: 161.68s
Word: ' we' | Start: 161.68s | End: 163.30s
Word: ' made' | Start: 163.30s | End: 163.56s
Word: ' a' | Start: 163.56s | End: 163.72s
Word: ' significant' | Start: 163.72s | End: 164.40s
Word: ' investment' | Start: 164.40s | End: 165.06s
Word: ' in' | Start: 165.06s | End: 165.34s
Word: ' editing' | Start: 165.34s | End: 165.60s
Word: ' stations' | Start: 165.60s | End: 166.10s
Word: ' based' | Start: 166.14s | End: 166.78s
Word: ' on' | Start: 166.78s | End: 167.10s
Word: ' AMD' | Start: 167.10s | End: 167.82s
Word: ' promises' | Start: 167.82s | End: 168.34s
Word: ' of' | Start: 168.34s | End: 168.58s
Word: ' long' | Start: 168.58s | End: 168.90s
Word: '-term' | Start: 168.90s | End: 169.14s
Word: ' socket' | Start: 169.14s | End: 169.50s
Word: ' support' | Start: 169.50s | End: 169.90s
Word: ' back' | Start: 170.16s | End: 170.34s
Word: ' in' | Start: 170.34s | End: 170.50s
Word: ' the' | Start: 170.50s | End: 170.62s
Word: ' Threadripper' | Start: 170.62s | End: 171.08s
Word: ' 3000' | Start: 171.08s | End: 171.62s
Word: ' days.' | Start: 171.62s | End: 172.22s
Word: ' And' | Start: 172.26s | End: 172.54s
Word: ' we' | Start: 172.54s | End: 173.80s
Word: ' all' | Start: 173.80s | End: 173.92s
Word: ' know' | Start: 173.92s | End: 174.04s
Word: ' how' | Start: 174.04s | End: 174.18s
Word: ' that' | Start: 174.18s | End: 174.40s
Word: ' worked' | Start: 174.40s | End: 174.68s
Word: ' out,' | Start: 174.68s | End: 175.02s
Word: ' don't' | Start: 175.02s | End: 175.18s
Word: ' we?' | Start: 175.18s | End: 175.54s
Word: ' Oh,' | Start: 176.14s | End: 176.42s
Word: ' we' | Start: 176.42s | End: 176.50s
Word: ' don't?' | Start: 176.50s | End: 176.90s
Word: ' Some' | Start: 177.12s | End: 177.24s
Word: ' of' | Start: 177.24s | End: 177.34s
Word: ' us' | Start: 177.34s | End: 177.48s
Word: ' don't?' | Start: 177.48s | End: 177.98s
Word: ' Bad.' | Start: 178.28s | End: 179.06s
Word: ' It' | Start: 179.44s | End: 179.78s
Word: ' worked' | Start: 179.78s | End: 180.06s
Word: ' out' | Start: 180.06s | End: 180.26s
Word: ' bad.' | Start: 180.26s | End: 180.76s
Word: ' It' | Start: 180.76s | End: 180.84s
Word: ' sucked.' | Start: 180.84s | End: 181.46s
Word: ' AMD' | Start: 181.62s | End: 181.96s
Word: ' just' | Start: 181.96s | End: 182.32s
Word: ' abandoned' | Start: 182.32s | End: 183.02s
Word: ' the' | Start: 183.02s | End: 183.26s
Word: ' platform' | Start: 183.26s | End: 183.72s
Word: ' immediately' | Start: 183.72s | End: 184.44s
Word: ' and' | Start: 184.46s | End: 184.88s
Word: ' was' | Start: 184.88s | End: 185.06s
Word: ' like,' | Start: 185.06s | End: 185.52s
Word: ' sorry,' | Start: 187.48s | End: 187.84s
Word: ' not' | Start: 187.84s | End: 188.00s
Word: ' sorry.' | Start: 188.00s | End: 188.62s
Word: ' Anywho.' | Start: 190.38s | End: 191.14s
Word: ' The' | Start: 191.38s | End: 191.52s
Word: ' 9950X' | Start: 191.52s | End: 192.46s
Word: ' has' | Start: 192.46s | End: 192.86s
Word: ' 16' | Start: 192.86s | End: 193.48s
Word: ' Zen' | Start: 193.48s | End: 193.88s
Word: ' 5' | Start: 193.88s | End: 194.18s
Word: ' cores,' | Start: 194.18s | End: 194.76s
Word: ' 24' | Start: 194.76s | End: 195.12s
Word: ' threads.' | Start: 195.12s | End: 195.80s
Word: ' Oh,' | Start: 196.14s | End: 196.38s
Word: ' you' | Start: 196.38s | End: 196.38s
Word: ' have' | Start: 196.38s | End: 196.48s
Word: ' 32' | Start: 196.48s | End: 196.90s
Word: ' threads,' | Start: 196.90s | End: 197.40s
Word: ' sorry' | Start: 197.40s | End: 197.52s
Word: ' about' | Start: 197.52s | End: 197.68s
Word: ' that.' | Start: 197.68s | End: 198.22s
Word: ' A' | Start: 198.70s | End: 198.80s
Word: ' base' | Start: 198.80s | End: 199.04s
Word: ' clock' | Start: 199.04s | End: 199.26s
Word: ' of' | Start: 199.26s | End: 199.42s
Word: ' 4' | Start: 199.42s | End: 199.62s
Word: '.3' | Start: 199.62s | End: 199.94s
Word: ' gigahertz,' | Start: 199.94s | End: 200.40s
Word: ' and' | Start: 200.40s | End: 200.46s
Word: ' it' | Start: 200.46s | End: 200.56s
Word: ' turbos' | Start: 200.56s | End: 201.02s
Word: ' to' | Start: 201.02s | End: 201.18s
Word: ' up' | Start: 201.18s | End: 201.34s
Word: ' to' | Start: 201.34s | End: 201.48s
Word: ' 5' | Start: 201.48s | End: 201.84s
Word: '.7' | Start: 201.84s | End: 202.68s
Word: ' gigahertz.' | Start: 202.68s | End: 203.82s
Word: ' Other' | Start: 204.06s | End: 204.26s
Word: ' than' | Start: 204.26s | End: 204.40s
Word: ' the' | Start: 204.40s | End: 204.52s
Word: ' X3D,' | Start: 204.52s | End: 205.22s
Word: ' which' | Start: 205.22s | End: 205.42s
Word: ' again,' | Start: 205.42s | End: 206.26s
Word: ' our' | Start: 206.34s | End: 206.48s
Word: ' productivity' | Start: 206.48s | End: 207.00s
Word: ' benchmarks' | Start: 207.00s | End: 207.54s
Word: ' don't' | Start: 207.54s | End: 207.94s
Word: ' seem' | Start: 207.94s | End: 208.20s
Word: ' to' | Start: 208.32s | End: 208.42s
Word: ' really' | Start: 208.42s | End: 208.64s
Word: ' benefit' | Start: 208.64s | End: 209.02s
Word: ' from' | Start: 209.02s | End: 209.32s
Word: ' that' | Start: 209.32s | End: 209.54s
Word: ' much,' | Start: 209.54s | End: 210.06s
Word: ' it' | Start: 210.44s | End: 210.62s
Word: ' is' | Start: 210.62s | End: 210.84s
Word: ' the' | Start: 210.84s | End: 211.14s
Word: ' top' | Start: 211.14s | End: 211.50s
Word: ' of' | Start: 211.50s | End: 211.76s
Word: ' the' | Start: 211.76s | End: 211.96s
Word: ' flipping' | Start: 211.96s | End: 212.34s
Word: ' line.' | Start: 212.34s | End: 213.00s
Word: ' Now' | Start: 213.00s | End: 213.10s
Word: ' we' | Start: 213.10s | End: 213.28s
Word: ' could' | Start: 213.28s | End: 213.64s
Word: ' have' | Start: 213.64s | End: 213.94s
Word: ' gone' | Start: 213.94s | End: 214.16s
Word: ' with' | Start: 214.16s | End: 214.40s
Word: ' a' | Start: 214.40s | End: 214.52s
Word: ' workstation' | Start: 214.52s | End: 214.98s
Word: ' CPU' | Start: 214.98s | End: 215.42s
Word: ' still.' | Start: 215.42s | End: 215.94s
Word: ' AMD' | Start: 216.18s | End: 216.44s
Word: ' does' | Start: 216.44s | End: 216.74s
Word: ' still' | Start: 216.74s | End: 217.04s
Word: ' have' | Start: 217.04s | End: 217.40s
Word: ' them,' | Start: 217.40s | End: 217.64s
Word: ' even' | Start: 217.74s | End: 217.82s
Word: ' though' | Start: 217.82s | End: 217.96s
Word: ' they' | Start: 217.96s | End: 218.12s
Word: ' abandoned' | Start: 218.12s | End: 218.66s
Word: ' that' | Start: 218.66s | End: 219.48s
Word: ' particular' | Start: 219.48s | End: 220.32s
Word: ' platform' | Start: 220.32s | End: 220.92s
Word: ' on' | Start: 220.92s | End: 221.28s
Word: ' me.' | Start: 221.28s | End: 221.70s
Word: ' Way' | Start: 222.16s | End: 222.40s
Word: ' to' | Start: 222.40s | End: 222.54s
Word: ' go,' | Start: 222.54s | End: 223.18s
Word: ' AMD.' | Start: 223.18s | End: 223.96s
Word: ' But' | Start: 224.06s | End: 225.40s
Word: ' here's' | Start: 225.40s | End: 225.64s
Word: ' the' | Start: 225.64s | End: 225.76s
Word: ' issue.' | Start: 225.76s | End: 226.32s
Word: ' AMD' | Start: 226.32s | End: 226.94s
Word: ' has' | Start: 226.94s | End: 227.12s
Word: ' kind' | Start: 227.12s | End: 227.36s
Word: ' of' | Start: 227.36s | End: 227.54s
Word: ' gutted' | Start: 227.54s | End: 228.34s
Word: ' their' | Start: 228.34s | End: 228.70s
Word: ' Threadripper' | Start: 228.70s | End: 229.16s
Word: ' offerings,' | Start: 229.16s | End: 229.88s
Word: ' dramatically' | Start: 229.88s | End: 230.48s
Word: ' increasing' | Start: 230.48s | End: 231.12s
Word: ' pricing' | Start: 231.12s | End: 231.66s
Word: ' for' | Start: 231.66s | End: 232.00s
Word: ' their' | Start: 232.00s | End: 232.16s
Word: ' top' | Start: 232.16s | End: 232.38s
Word: ' core' | Start: 232.38s | End: 232.62s
Word: ' account' | Start: 232.62s | End: 232.82s
Word: ' models' | Start: 232.82s | End: 233.18s
Word: ' and' | Start: 233.18s | End: 233.86s
Word: ' lagging' | Start: 233.86s | End: 234.52s
Word: ' behind' | Start: 234.52s | End: 235.02s
Word: ' their' | Start: 235.02s | End: 235.52s
Word: ' desktop' | Start: 235.52s | End: 236.10s
Word: ' chips' | Start: 236.10s | End: 236.62s
Word: ' in' | Start: 236.62s | End: 237.06s
Word: ' terms' | Start: 237.06s | End: 237.24s
